_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,EXTERIOR GROUNDS,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,POOLS,OTHER AMENITIES,PARKING AREAS,ELEVATOR MAINTENANCE,INTERIOR HALLWAY FLOORS,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y,BUILDING SCORE CATEGORY
1019,4218633,2017,1967,2025,PRIVATE,Toronto-St. Paul's,77 ST CLAIR AVE E,20,185,2025-11-26,81,82,-1,45,2,2,3,2,3,2,3,3,3,1,2,-1,3,-1,1,2,3,2,3,1,2,3,2,1,2,3,3,3,3,3,3,3,3,S1238,43,-79,313582,4838506,Good
1020,4218633,2017,1967,2023,PRIVATE,Toronto-St. Paul's,77 ST CLAIR AVE E,20,185,2023-09-28,97,97,0,46,3,3,3,3,3,3,3,3,3,2,3,3,3,-1,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,S1238,43,-79,313582,4838506,Excellent
1021,4153750,2017,1970,2024,PRIVATE,Toronto-St. Paul's,80 ST CLAIR AVE E,27,307,2024-06-19,89,89,0,47,2,3,3,3,2,1,3,3,3,3,3,-1,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,0,0,0,3,S1233,43,-79,313610,4838583,Good
1022,4153751,1900,1960,2023,PRIVATE,University-Rosedale,171 ST CLAIR AVE E,4,36,2023-08-25,42,42,0,48,1,1,1,1,2,2,1,2,1,0,0,1,1,-1,0,2,3,1,2,2,1,2,1,3,0,1,1,1,0,0,0,0,0,S1121,43,-79,313973,4838628,Fair
1023,4153751,1900,1960,2025,PRIVATE,University-Rosedale,171 ST CLAIR AVE E,4,36,2025-11-28,66,67,-1,44,3,1,2,2,3,1,3,3,1,2,-1,1,2,-1,-1,1,3,1,3,3,1,1,3,3,2,1,3,1,1,3,1,3,1,S1121,43,-79,313973,4838628,Fair
1024,4154061,2017,1983,2024,SOCIAL HOUSING,Beaches-East York,2701-2703 ST CLAIR AVE E,5,127,2024-09-17,94,94,0,47,3,2,3,3,3,3,3,3,2,3,3,3,2,-1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1927,43,-79,319980,4840414,Excellent
1025,4154067,2017,1960,2023,PRIVATE,Beaches-East York,2890 ST CLAIR AVE E,4,31,2023-09-26,73,73,0,37,2,2,2,1,2,2,3,3,2,3,-1,2,1,-1,-1,2,-1,2,1,3,2,2,3,3,3,2,3,3,1,3,1,3,1,S1924,43,-79,320715,4840691,Good
1026,4154067,2017,1960,2025,PRIVATE,Beaches-East York,2890 ST CLAIR AVE E,4,31,2025-11-05,84,85,-1,39,2,2,3,2,3,2,3,3,2,1,-1,3,3,-1,-1,2,-1,3,3,3,2,3,2,3,1,2,2,3,1,3,3,3,1,S1924,43,-79,320715,4840691,Good
1027,4154066,2017,1955,2023,PRIVATE,Beaches-East York,2892 ST CLAIR AVE E,4,34,2023-06-17,95,95,0,41,3,3,3,3,3,3,3,3,3,3,2,3,3,-1,-1,2,-1,3,1,3,3,3,3,3,3,3,3,2,3,3,3,1,3,S1924,43,-79,320686,4840682,Excellent
1028,4154066,2017,1955,2025,PRIVATE,Beaches-East York,2892 ST CLAIR AVE E,4,34,2025-11-05,96,96,0,41,3,3,3,2,3,2,3,3,3,3,-1,3,3,3,-1,2,-1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,S1924,43,-79,320686,4840682,Excellent
